x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.91,260.879,33.5857,6.57794e-240,8.367e-106,2.78132e-70,4.72896e-146,1.58842e-14,239.741,1.52556,241.267,19.6122,19.6122,0.583946
0.915,234.567,33.3916,1.04332e-243,6.79362e-108,3.38867e-72,3.89509e-151,2.06718e-15,197.773,3.21167,200.985,33.5823,33.5823,1.00571
0.92,135.837,32.078,1.54601e-247,5.2677e-110,3.90217e-74,2.63261e-156,2.558e-16,158.185,6.5324,164.717,-28.8808,28.8808,-0.900328
0.925,100.881,31.7175,2.14031e-251,3.90058e-112,4.24701e-76,1.46007e-161,3.00977e-17,122.669,12.8366,135.506,-34.6246,34.6246,-1.09166
0.93,74.8957,31.4802,2.76829e-255,2.75819e-114,4.36876e-78,6.64469e-167,3.36725e-18,92.2317,24.3707,116.602,-41.7066,41.7066,-1.32486
0.935,93.0738,31.9218,3.34514e-259,1.86255e-116,4.24749e-80,2.48138e-172,3.58202e-19,67.2352,44.7016,111.937,-18.863,18.863,-0.590914
0.94,72.6033,31.7333,3.77647e-263,1.20111e-118,3.90307e-82,7.60378e-178,3.62318e-20,47.5211,79.2166,126.738,-54.1343,54.1343,-1.70592
0.945,77.5469,31.9218,3.98316e-267,7.39677e-121,3.38983e-84,1.91197e-183,3.48467e-21,32.5648,135.627,168.192,-90.6451,90.6451,-2.8396
0.95,198.854,33.8526,3.92499e-271,4.35002e-123,2.78259e-86,3.94504e-189,3.18672e-22,21.6364,224.344,245.981,-47.1264,47.1264,-1.3921
0.955,257.471,34.7707,3.61342e-275,2.44303e-125,2.15884e-88,6.67938e-195,2.771e-23,13.9378,358.527,372.464,-114.993,114.993,-3.30718
0.96,489.344,38,3.1079e-279,1.31025e-127,1.58303e-90,9.2798e-201,2.29107e-24,8.70511,553.561,562.266,-72.9223,72.9223,-1.91901
0.965,808.418,42.0119,2.49738e-283,6.71068e-130,1.09713e-92,1.05793e-206,1.80115e-25,5.27143,825.748,831.02,-22.6019,22.6019,-0.537988
0.97,1161.64,46.0326,1.87488e-287,3.28222e-132,7.18661e-95,9.89676e-213,1.34639e-26,3.09497,1190.06,1193.15,-31.5129,31.5129,-0.684578
0.975,1650.95,51.0686,1.31501e-291,1.53306e-134,4.44928e-97,7.59706e-219,9.56983e-28,1.7618,1657.01,1658.77,-7.82053,7.82053,-0.153138
0.98,2313.3,57.1752,8.61697e-296,6.83811e-137,2.60349e-99,4.78536e-225,6.46765e-29,0.972364,2229.06,2230.03,83.2758,83.2758,1.4565
0.985,2879.64,61.9112,5.27533e-300,2.91274e-139,1.43986e-101,2.47343e-231,4.15622e-30,0.520325,2897.04,2897.56,-17.9199,17.9199,-0.289445
0.99,3704.91,68.2276,3.01727e-304,1.18483e-141,7.52631e-104,1.04906e-237,2.53957e-31,0.269957,3637.69,3637.96,66.9453,66.9453,0.981206
